Tue May 19 19:40:51 2026    profile

         3485717 function calls (3017295 primitive calls) in 111.181 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.003    0.003 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/__init__.py:65(init)
     1962    0.002    0.000    0.003    0.000 /usr/lib/python3.10/threading.py:264(__enter__)
        1    0.003    0.003    0.003    0.003 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/context.py:49(init)
      981    0.002    0.000    0.003    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/executors.py:74(__enter__)
       18    0.000    0.000    0.003    0.000 /home/will/.local/lib/python3.10/site-packages/torch/nn/modules/batchnorm.py:153(__init__)
      118    0.000    0.000    0.003    0.000 /home/will/.local/lib/python3.10/site-packages/torch/_utils.py:227(_rebuild_tensor_v2)
        1    0.000    0.000    0.003    0.003 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/parameter_service.py:28(__init__)
      985    0.003    0.000    0.003    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/executors.py:315(get_nodes)
        6    0.002    0.000    0.003    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/node.py:1442(create_service)
       18    0.000    0.000    0.003    0.000 /home/will/.local/lib/python3.10/site-packages/torch/nn/modules/batchnorm.py:38(__init__)
      118    0.000    0.000    0.003    0.000 /home/will/.local/lib/python3.10/site-packages/torch/serialization.py:601(_validate_device)
     3926    0.003    0.000    0.003    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/builtin_interfaces/msg/_time.py:124(sec)
      118    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
    12754    0.003    0.000    0.003    0.000 {built-in method builtins.iter}
    19872    0.003    0.000    0.003    0.000 {method '__exit__' of '_thread.lock' objects}
        1    0.000    0.000    0.003    0.003 /usr/lib/python3/dist-packages/lark/visitors.py:1(<module>)
